FIPS,State,County,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17
01021,Alabama,Chilton County,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021,01021
01023,Alabama,Choctaw County,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023,01023
01025,Alabama,Clarke County,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025,01025
01027,Alabama,Clay County,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027,01027
01029,Alabama,Cleburne County,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029,01029
01031,Alabama,Coffee County,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031,01031
01033,Alabama,Colbert County,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033,01033
01035,Alabama,Conecuh County,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035,01035
01037,Alabama,Coosa County,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037,01037
01039,Alabama,Covington County,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039,01039
01041,Alabama,Crenshaw County,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041,01041
